Analog Channels
0    	    1    	    2    	    3    
Signal	    Baseline	    Trig data	    Energy
1962	    1945	    1963	    5179
1952	    1945	    1947	    5179
1945	    1945	    1946	    5179
1948	    1945	    1954	    5179
1953	    1945	    1955	    5179
1951	    1945	    1948	    5179
1943	    1945	    1944	    3393
1945	    1945	    1949	    3393
1954	    1945	    1954	    3393
1950	    1945	    1942	    3393
1940	    1945	    1941	    3393
1943	    1945	    1950	    3393
1950	    1945	    1956	    3393
1948	    1945	    1948	    3393
1938	    1945	    1943	    3393
1948	    1945	    1949	    3393
1951	    1945	    1953	    3393
1950	    1945	    1945	    3393
1946	    1945	    1944	    3393
1942	    1945	    1948	    3393
1945	    1945	    1950	    3393
1949	    1945	    1948	    3393
1948	    1945	    1946	    3393
1944	    1945	    1943	    3393
1944	    1945	    1946	    3393
1943	    1945	    1946	    3393
1944	    1945	    1946	    3393
1947	    1945	    1947	    3393
1947	    1945	    1944	    3393
1943	    1945	    1941	    3393
1944	    1945	    1945	    3393
1945	    1945	    1946	    3393
1946	    1945	    1944	    3393
1941	    1945	    1942	    3393
1942	    1945	    1944	    3393
1946	    1945	    1948	    3393
1946	    1945	    1946	    3393
1943	    1945	    1941	    3393
1941	    1945	    1944	    3393
1943	    1945	    1947	    3393
1949	    1945	    1947	    3393
1947	    1945	    1945	    3393
1941	    1945	    1944	    3393
1944	    1945	    1946	    3393
1952	    1945	    1947	    3393
1941	    1945	    1942	    3393
1940	    1945	    1943	    3393
1948	    1945	    1949	    3393
1948	    1945	    1945	    3393
1944	    1945	    1943	    3393
1945	    1945	    1947	    3393
1947	    1945	    1948	    3393
1947	    1945	    1946	    3393
1946	    1945	    1944	    3393
1944	    1945	    1945	    3393
1946	    1945	    1945	    3393
1948	    1945	    1945	    3393
1947	    1945	    1941	    3393
1944	    1945	    1942	    3393
1942	    1945	    1948	    3393
1947	    1945	    1950	    3393
1949	    1945	    1946	    3393
1944	    1945	    1942	    3393
1937	    1945	    1944	    3393
1946	    1945	    1949	    3393
1945	    1945	    1946	    3393
1943	    1945	    1942	    3393
1943	    1945	    1943	    3393
1943	    1945	    1945	    3393
1943	    1945	    1944	    3393
1947	    1945	    1943	    3393
1945	    1945	    1942	    3393
1940	    1945	    1941	    3393
1942	    1945	    1944	    3393
1947	    1945	    1945	    3393
1940	    1945	    1942	    3393
1942	    1945	    1942	    3393
1947	    1945	    1950	    3393
1946	    1945	    1944	    3393
1944	    1945	    1942	    3393
1947	    1945	    1947	    3393
1945	    1945	    1943	    3393
1941	    1945	    1943	    3393
1946	    1945	    1946	    3393
1948	    1945	    1945	    3393
1944	    1945	    1941	    3393
1939	    1945	    1942	    3393
1943	    1945	    1947	    3393
1946	    1945	    1947	    3393
1942	    1945	    1941	    3393
1943	    1945	    1942	    3393
1948	    1945	    1946	    3393
1946	    1945	    1941	    3393
1938	    1945	    1936	    3393
1943	    1945	    1945	    3393
1947	    1945	    1945	    3393
1945	    1945	    1940	    3393
1941	    1945	    1939	    3393
1940	    1945	    1943	    3393
1944	    1945	    1946	    3393
1943	    1945	    1943	    3393
1943	    1945	    1942	    3393
1942	    1945	    1943	    3393
1942	    1945	    1945	    3393
1942	    1945	    1943	    3393
1953	    1945	    1944	    3393
1942	    1945	    1941	    3393
1939	    1945	    1941	    3393
1947	    1945	    1954	    3393
1950	    1945	    1948	    3393
1938	    1945	    1939	    3393
1937	    1945	    1943	    3393
1944	    1945	    1952	    3393
1948	    1945	    1947	    3393
1944	    1945	    1940	    3393
1938	    1945	    1939	    3393
1943	    1945	    1946	    3393
1947	    1945	    1947	    3393
1940	    1945	    1940	    3393
1942	    1945	    1944	    3393
1942	    1945	    1945	    3393
1942	    1945	    1943	    3393
1940	    1945	    1943	    3393
1943	    1945	    1946	    3393
1947	    1945	    1944	    3393
1941	    1945	    1940	    3393
1939	    1945	    1941	    3393
1943	    1945	    1948	    3393
1952	    1945	    1943	    3393
1940	    1945	    1937	    3393
1936	    1945	    1940	    3393
1948	    1944	    1951	    3393
1948	    1944	    1944	    3393
1937	    1944	    1935	    3393
1937	    1944	    1945	    3393
1946	    1944	    1949	    3393
1951	    1944	    1948	    3393
1940	    1944	    1936	    3393
1940	    1944	    1942	    3393
1946	    1944	    1949	    3393
1944	    1944	    1943	    3393
1941	    1944	    1939	    3393
1941	    1944	    1944	    3393
1944	    1944	    1946	    3393
1945	    1944	    1942	    3393
1940	    1944	    1940	    3393
1936	    1944	    1943	    3393
1945	    1944	    1950	    3393
1948	    1944	    1946	    3393
1940	    1944	    1937	    3393
1939	    1944	    1940	    3393
1946	    1944	    1947	    3393
1947	    1944	    1944	    3393
1941	    1944	    1938	    3393
1939	    1944	    1942	    3393
1944	    1944	    1946	    3393
1947	    1944	    1943	    3393
1941	    1944	    1939	    3393
1941	    1944	    1940	    3393
1946	    1944	    1945	    3393
1943	    1944	    1941	    3393
1939	    1944	    1939	    3393
1945	    1944	    1946	    3393
1947	    1944	    1944	    3393
1942	    1944	    1938	    3393
1938	    1944	    1942	    3393
1946	    1944	    1945	    3393
1949	    1944	    1946	    3393
1938	    1944	    1936	    3393
1935	    1944	    1941	    3393
1948	    1944	    1952	    3393
1948	    1944	    1943	    3393
1938	    1944	    1935	    3393
1938	    1944	    1943	    3393
1946	    1944	    1949	    3393
1947	    1944	    1944	    3393
1942	    1944	    1938	    3393
1940	    1944	    1941	    3393
1945	    1944	    1945	    3393
1944	    1944	    1944	    3393
1942	    1944	    1941	    3393
1943	    1944	    1944	    3393
1944	    1944	    1944	    3393
1943	    1944	    1942	    3393
1942	    1944	    1943	    3393
1943	    1944	    1944	    3393
1944	    1944	    1944	    3393
1944	    1944	    1942	    3393
1943	    1944	    1942	    3393
1942	    1944	    1943	    3393
1943	    1944	    1944	    3393
1941	    1944	    1944	    3393
1944	    1944	    1942	    3393
1942	    1944	    1945	    3393
1943	    1944	    1944	    3393
1943	    1944	    1944	    3393
1940	    1944	    1939	    3393
1942	    1944	    1944	    3393
1942	    1944	    1944	    3393
1944	    1944	    1943	    3393
1944	    1944	    1944	    3393
1944	    1944	    1941	    3393
1942	    1944	    1941	    3393
1944	    1944	    1944	    3393
1942	    1944	    1942	    3393
1942	    1944	    1943	    3393
1942	    1944	    1945	    3393
1942	    1944	    1943	    3393
1940	    1944	    1944	    3393
1943	    1944	    1946	    3393
1947	    1944	    1945	    3393
1941	    1944	    1940	    3393
1936	    1943	    1940	    3393
1945	    1943	    1949	    3393
1948	    1943	    1948	    3393
1941	    1943	    1939	    3393
1938	    1943	    1940	    3393
1943	    1943	    1947	    3393
1949	    1943	    1945	    3393
1943	    1943	    1939	    3393
1941	    1943	    1941	    3393
1946	    1943	    1948	    3393
1949	    1943	    1946	    3393
1946	    1943	    1940	    3393
1943	    1943	    1940	    3393
1939	    1943	    1944	    3393
1946	    1943	    1947	    3393
1943	    1943	    1940	    3393
1940	    1943	    1939	    3393
1945	    1943	    1947	    3393
1945	    1943	    1943	    3393
1941	    1943	    1940	    3393
1945	    1943	    1946	    3393
1945	    1943	    1944	    3393
1942	    1943	    1941	    3393
1943	    1943	    1944	    3393
1944	    1943	    1944	    3393
1943	    1943	    1941	    3393
1942	    1943	    1941	    3393
1943	    1943	    1944	    3393
1945	    1943	    1944	    3393
1940	    1943	    1942	    3393
1940	    1943	    1944	    3393
1946	    1943	    1947	    3393
1946	    1943	    1943	    3393
1941	    1943	    1939	    3393
1941	    1943	    1943	    3393
1946	    1943	    1945	    3393
1946	    1943	    1943	    3393
1942	    1943	    1939	    3393
1943	    1943	    1941	    3393
1938	    1943	    1945	    3393
1942	    1943	    1945	    3393
1945	    1943	    1947	    3393
1942	    1943	    1942	    3393
1941	    1943	    1941	    3393
1944	    1943	    1946	    3393
1946	    1942	    1944	    3393
1945	    1943	    1942	    3393
1938	    1943	    1940	    3393
1939	    1943	    1945	    3393
1945	    1943	    1948	    3393
1947	    1943	    1943	    3393
1942	    1943	    1938	    3393
1941	    1943	    1942	    3393
1940	    1943	    1945	    3393
1945	    1943	    1948	    3393
1947	    1943	    1943	    3393
1941	    1943	    1939	    3393
1939	    1943	    1942	    3393
1947	    1943	    1948	    3393
1946	    1943	    1942	    3393
1942	    1943	    1939	    3393
1940	    1943	    1942	    3393
1946	    1943	    1948	    3393
1945	    1943	    1947	    3393
1940	    1943	    1941	    3393
1939	    1943	    1945	    3393
1946	    1943	    1948	    3393
1945	    1943	    1946	    3393
1938	    1943	    1939	    3393
1942	    1943	    1946	    3393
1946	    1943	    1946	    3393
1945	    1943	    1943	    3393
1939	    1943	    1940	    3393
1946	    1943	    1945	    3393
1949	    1943	    1947	    3393
1938	    1943	    1936	    3393
1937	    1943	    1941	    3393
1946	    1943	    1947	    3393
1947	    1943	    1943	    3393
1941	    1943	    1937	    3393
1939	    1943	    1941	    3393
1946	    1943	    1947	    3393
1945	    1943	    1944	    3393
1938	    1943	    1940	    3393
1943	    1943	    1946	    3393
1950	    1943	    1947	    3393
1942	    1943	    1940	    3393
1936	    1943	    1939	    3393
1943	    1943	    1950	    3393
1948	    1943	    1947	    3393
1941	    1943	    1939	    3393
1937	    1943	    1940	    3393
1945	    1943	    1950	    3393
1947	    1943	    1947	    3393
1944	    1943	    1940	    3393
1941	    1943	    1942	    3393
1942	    1943	    1945	    3393
1944	    1943	    1944	    3393
1946	    1943	    1942	    3393
1942	    1943	    1941	    3393
1940	    1943	    1940	    3393
1944	    1943	    1946	    3393
1949	    1942	    1945	    3393
1947	    1942	    1939	    3393
1936	    1942	    1937	    3393
1946	    1942	    1948	    3393
1948	    1942	    1949	    3393
1938	    1942	    1938	    3393
1943	    1942	    1941	    3393
1950	    1943	    1949	    3393
1943	    1943	    1939	    3393
1938	    1943	    1938	    3393
1944	    1943	    1947	    3393
1947	    1943	    1945	    3393
1940	    1943	    1939	    3393
1942	    1943	    1942	    3393
1944	    1943	    1946	    3393
1947	    1943	    1945	    3393
1942	    1943	    1939	    3393
1941	    1943	    1941	    3393
1943	    1943	    1944	    3393
1947	    1943	    1944	    3393
1943	    1943	    1940	    3393
1941	    1943	    1940	    3393
1944	    1943	    1945	    3393
1945	    1943	    1945	    3393
1940	    1943	    1941	    3393
1941	    1943	    1945	    3393
1948	    1943	    1948	    3393
1947	    1943	    1943	    3393
1941	    1943	    1938	    3393
1940	    1943	    1945	    3393
1949	    1943	    1949	    3393
1940	    1943	    1943	    3393
1940	    1943	    1940	    3393
1943	    1943	    1949	    3393
1945	    1943	    1947	    3393
1948	    1943	    1944	    3393
1941	    1943	    1941	    3393
1938	    1943	    1941	    3393
1945	    1943	    1950	    3393
1949	    1943	    1946	    3393
1942	    1943	    1938	    3393
1938	    1943	    1940	    3393
1944	    1943	    1948	    3393
1946	    1943	    1946	    3393
1942	    1943	    1940	    3393
1940	    1943	    1941	    3393
1944	    1943	    1946	    3393
1946	    1943	    1946	    3393
1942	    1943	    1940	    3393
1942	    1943	    1941	    3393
1943	    1943	    1944	    3393
1943	    1943	    1942	    3393
1940	    1943	    1943	    3393
1946	    1943	    1944	    3393
1947	    1943	    1944	    3393
1941	    1943	    1938	    3393
1938	    1943	    1941	    3393
1945	    1943	    1949	    3393
1946	    1943	    1944	    3393
1939	    1943	    1940	    3393
1941	    1943	    1944	    3393
1944	    1943	    1949	    3393
1950	    1943	    1945	    3393
1939	    1943	    1935	    3393
1938	    1943	    1943	    3393
1951	    1943	    1951	    3393
1945	    1943	    1944	    3393
1937	    1943	    1937	    3393
1942	    1943	    1949	    3393
1945	    1943	    1949	    3393
1941	    1943	    1940	    3393
1941	    1943	    1946	    3393
1941	    1943	    1944	    3393
1946	    1943	    1946	    3393
1947	    1943	    1943	    3393
1940	    1943	    1939	    3393
1940	    1943	    1942	    3393
1945	    1943	    1950	    3393
1946	    1943	    1944	    3393
1943	    1943	    1940	    3393
1943	    1943	    1943	    3393
1944	    1943	    1944	    3393
1945	    1943	    1944	    3393
1944	    1943	    1942	    3393
1942	    1943	    1942	    3393
1941	    1943	    1943	    3393
1942	    1943	    1946	    3393
1948	    1943	    1945	    3393
1947	    1943	    1942	    3393
1940	    1943	    1938	    3393
1940	    1943	    1943	    3393
1949	    1943	    1949	    3393
1944	    1943	    1944	    3393
1940	    1943	    1940	    3393
1942	    1943	    1945	    3393
1946	    1943	    1947	    3393
1946	    1943	    1943	    3393
1943	    1943	    1940	    3393
1941	    1943	    1944	    3393
1944	    1943	    1946	    3393
1946	    1943	    1944	    3393
1946	    1943	    1941	    3393
1945	    1943	    1940	    3393
1941	    1943	    1939	    3393
1940	    1943	    1941	    3393
1945	    1943	    1946	    3393
1948	    1943	    1945	    3393
1944	    1943	    1939	    3393
1940	    1943	    1940	    3393
1944	    1943	    1946	    3393
1946	    1943	    1946	    3393
1942	    1943	    1940	    3393
1940	    1943	    1942	    3393
1947	    1943	    1948	    3393
1946	    1943	    1943	    3393
1940	    1943	    1940	    3393
1942	    1943	    1943	    3393
1945	    1943	    1948	    3393
1942	    1943	    1941	    3393
1941	    1943	    1942	    3393
1942	    1943	    1944	    3393
1947	    1943	    1945	    3393
1937	    1943	    1943	    3393
1941	    1943	    1944	    3393
1942	    1943	    1947	    3393
1942	    1943	    1941	    3393
1945	    1943	    1943	    3393
1944	    1943	    1943	    3393
1939	    1943	    1942	    3393
1942	    1943	    1946	    3393
1947	    1943	    1949	    3393
1943	    1943	    1943	    3393
1939	    1943	    1940	    3393
1939	    1943	    1947	    3393
1946	    1943	    1947	    3393
1948	    1943	    1948	    3393
1940	    1943	    1937	    3393
1940	    1943	    1942	    3393
1948	    1943	    1949	    3393
1943	    1943	    1942	    3393
1941	    1943	    1939	    3393
1945	    1943	    1945	    3393
1944	    1943	    1944	    3393
1941	    1943	    1941	    3393
1943	    1943	    1945	    3393
1948	    1943	    1946	    3393
1944	    1943	    1941	    3393
1941	    1943	    1941	    3393
1947	    1943	    1947	    3393
1950	    1943	    1944	    3393
1943	    1943	    1940	    3393
1935	    1943	    1943	    3393
1945	    1943	    1949	    3393
1953	    1943	    1947	    3393
1940	    1943	    1936	    3393
1937	    1943	    1939	    3393
1945	    1943	    1953	    3393
1945	    1943	    1945	    3393
1943	    1943	    1942	    3393
1944	    1943	    1944	    3393
1944	    1943	    1944	    3393
1946	    1943	    1942	    3393
1943	    1943	    1942	    3393
1940	    1943	    1942	    3393
1943	    1943	    1946	    3393
1945	    1943	    1947	    3393
1947	    1943	    1944	    3393
1939	    1943	    1941	    3393
1940	    1943	    1945	    3393
1950	    1943	    1949	    3393
1948	    1943	    1942	    3393
1936	    1943	    1935	    3393
1941	    1943	    1945	    3393
1952	    1943	    1951	    3393
1947	    1943	    1940	    3393
1937	    1943	    1935	    3393
1939	    1943	    1947	    3393
1948	    1943	    1950	    3393
1945	    1943	    1942	    3393
1938	    1943	    1936	    3393
1943	    1943	    1945	    3393
1943	    1943	    1945	    3393
1947	    1943	    1940	    3393
1944	    1943	    1942	    3393
1944	    1943	    1942	    3393
1946	    1943	    1945	    3393
1942	    1943	    1941	    3393
1942	    1943	    1942	    3393
1949	    1943	    1946	    3393
1944	    1943	    1941	    3393
1937	    1943	    1939	    3393
1945	    1943	    1949	    3393
1952	    1943	    1950	    3393
1946	    1943	    1939	    3393
1935	    1943	    1936	    3393
1939	    1943	    1949	    3393
1948	    1943	    1946	    3393
1940	    1943	    1938	    3393
1938	    1943	    1937	    3393
1947	    1943	    1953	    3393
1948	    1943	    1946	    3393
1941	    1943	    1940	    3393
1941	    1943	    1943	    3393
1943	    1943	    1947	    3393
1944	    1943	    1945	    3393
1943	    1943	    1943	    3393
1942	    1943	    1943	    3393
1943	    1943	    1944	    3393
1944	    1943	    1944	    3393
1944	    1943	    1942	    3393
1941	    1943	    1943	    3393
1944	    1943	    1943	    3393
1949	    1943	    1946	    3393
1943	    1943	    1938	    3393
1941	    1943	    1942	    3393
1943	    1943	    1946	    3393
1946	    1943	    1947	    3393
1943	    1943	    1942	    3393
1943	    1943	    1945	    3393
1944	    1943	    1943	    3393
1944	    1943	    1946	    3393
1943	    1943	    1942	    3393
1942	    1943	    1944	    3393
1943	    1943	    1944	    3393
1941	    1943	    1945	    3393
1942	    1943	    1944	    3393
1946	    1943	    1948	    3393
1945	    1943	    1944	    3393
1940	    1943	    1941	    3393
1940	    1943	    1943	    3393
1944	    1943	    1948	    3393
1947	    1943	    1945	    3393
1946	    1943	    1941	    3393
1943	    1943	    1940	    3393
1942	    1943	    1944	    3393
1947	    1943	    1947	    3393
1947	    1943	    1943	    3393
1941	    1943	    1939	    3393
1941	    1943	    1944	    3393
1945	    1943	    1947	    3393
1947	    1943	    1944	    3393
1943	    1943	    1940	    3393
1938	    1943	    1941	    3393
1944	    1943	    1946	    3393
1947	    1943	    1945	    3393
1945	    1943	    1940	    3393
1944	    1943	    1942	    3393
1944	    1943	    1945	    3393
1943	    1943	    1944	    3393
1944	    1943	    1943	    3393
1941	    1943	    1943	    3393
1942	    1943	    1946	    3393
1944	    1943	    1944	    3393
1946	    1943	    1945	    3393
1943	    1943	    1942	    3393
1942	    1943	    1945	    3393
1946	    1943	    1947	    3393
1945	    1943	    1943	    3393
1940	    1943	    1942	    3393
1946	    1943	    1944	    3393
1945	    1943	    1946	    3393
1942	    1943	    1940	    3393
1943	    1943	    1942	    3393
1941	    1943	    1947	    3393
1945	    1943	    1944	    3393
1947	    1943	    1946	    3393
1944	    1943	    1939	    3393
1941	    1943	    1942	    3393
1948	    1943	    1947	    3393
1944	    1943	    1943	    3393
1942	    1943	    1941	    3393
1944	    1943	    1945	    3393
1942	    1943	    1946	    3393
1947	    1943	    1944	    3393
1943	    1943	    1940	    3393
1942	    1943	    1941	    3393
1942	    1943	    1944	    3393
1942	    1943	    1945	    3393
1946	    1943	    1945	    3393
1950	    1943	    1945	    3393
1943	    1943	    1939	    3393
1939	    1943	    1940	    3393
1946	    1943	    1948	    3393
1949	    1943	    1945	    3393
1942	    1943	    1939	    3393
1939	    1943	    1941	    3393
1941	    1943	    1947	    3393
1947	    1943	    1948	    3393
1943	    1943	    1942	    3393
1943	    1943	    1942	    3393
1941	    1943	    1945	    3393
1942	    1943	    1944	    3393
1945	    1943	    1947	    3393
1943	    1943	    1941	    3393
1941	    1943	    1944	    3393
1941	    1943	    1945	    3393
1948	    1943	    1947	    3393
1943	    1943	    1944	    3393
1938	    1943	    1940	    3393
1942	    1943	    1948	    3393
1950	    1943	    1948	    3393
1943	    1943	    1941	    3393
1945	    1943	    1939	    3393
1943	    1943	    1948	    3393
1947	    1943	    1945	    3393
1941	    1943	    1943	    3393
1939	    1943	    1942	    3393
1945	    1943	    1947	    3393
1949	    1943	    1947	    3393
1940	    1943	    1938	    3393
1938	    1943	    1941	    3393
1947	    1943	    1951	    3393
1947	    1943	    1944	    3393
1939	    1943	    1938	    3393
1944	    1943	    1945	    3393
