Digital 0
analog channels
0    		1    		2    		3    
No data		Valid BL	Trigger		Valid charge
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		1		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		1
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
0		1		0		0
