Analog Channels
0    	    1    	    2    	    3    
Signal	    Baseline	    Trig data	    Energy
1945	    1946	    1948	    3709
1951	    1946	    1945	    3709
1947	    1946	    1943	    3709
1941	    1946	    1939	    3709
1945	    1946	    1946	    3709
1949	    1946	    1948	    3709
1950	    1946	    1944	    3709
1938	    1946	    1941	    3709
1949	    1946	    1948	    3709
1951	    1946	    1950	    3709
1944	    1946	    1942	    3709
1940	    1946	    1943	    3709
1947	    1946	    1950	    3709
1952	    1946	    1947	    3709
1942	    1946	    1941	    3709
1939	    1946	    1943	    3709
1947	    1946	    1951	    3709
1949	    1946	    1946	    3709
1945	    1946	    1940	    3709
1942	    1946	    1941	    3709
1948	    1946	    1947	    3709
1951	    1946	    1948	    3709
1941	    1946	    1941	    3709
1939	    1946	    1944	    3709
1952	    1946	    1956	    3709
1951	    1946	    1945	    3709
1945	    1946	    1937	    3709
1938	    1946	    1940	    3709
1943	    1946	    1949	    3709
1948	    1946	    1949	    3709
1944	    1946	    1944	    3709
1943	    1946	    1943	    3709
1947	    1946	    1948	    3709
1942	    1946	    1944	    3709
1939	    1946	    1942	    3709
1950	    1946	    1950	    3709
1950	    1946	    1945	    3709
1939	    1946	    1942	    3709
1947	    1946	    1952	    3709
1955	    1946	    1956	    3709
1947	    1946	    1940	    3709
1941	    1946	    1942	    3709
1945	    1946	    1949	    3709
1947	    1946	    1949	    3709
1950	    1946	    1945	    3709
1948	    1946	    1946	    3709
1944	    1946	    1945	    3709
1943	    1946	    1947	    3709
1947	    1946	    1949	    3709
1950	    1946	    1947	    3709
1942	    1946	    1941	    3709
1940	    1946	    1944	    3709
1950	    1946	    1952	    3709
1951	    1946	    1946	    3709
1943	    1946	    1936	    3709
1944	    1946	    1944	    3709
1949	    1946	    1953	    3709
1947	    1946	    1949	    3709
1945	    1946	    1943	    3709
1945	    1946	    1947	    3709
1948	    1946	    1948	    3709
1945	    1946	    1943	    3709
1943	    1946	    1943	    3709
1943	    1946	    1946	    3709
1950	    1946	    1946	    3709
1946	    1946	    1942	    3709
1941	    1946	    1941	    3709
